Region,12 to 17,18 to 24,25 to 34,35 and up,younger than 12,All
Africa,36.69724770642202,19.26605504587156,7.339449541284404,9.174311926605505,27.522935779816514,100.0
Asia / Pacific,24.700239808153476,57.31414868105516,14.86810551558753,2.158273381294964,0.9592326139088728,100.0
Europe,20.835055808185203,61.59570070276974,15.543613063249277,1.6122364613476645,0.41339396444811904,100.00000000000001
Latin America,25.0,56.15384615384615,16.923076923076923,0.38461538461538464,1.5384615384615385,100.0
Middle East,31.97278911564626,46.25850340136054,8.843537414965986,2.7210884353741496,10.204081632653061,100.0
North America,27.33299337072922,55.32891381947985,14.788373278939318,1.5043345232024476,1.0453850076491586,100.0
Oceania,25.423728813559322,53.813559322033896,15.254237288135593,3.8135593220338984,1.694915254237288,100.0
Total (Age),25.1797603195739,56.737683089214386,14.900133155792277,1.744340878828229,1.4380825565912116,100.0
All,217.14181494226943,406.46841021563125,108.46052618103131,23.112760313302246,44.81648834776577,800.0000000000002
