Region,Age Group,Population,Percentage of Population
Africa,younger than 12,30,27.522935779816514
Africa,12 to 17,40,36.69724770642202
Africa,18 to 24,21,19.26605504587156
Africa,25 to 34,8,7.339449541284404
Africa,35 and up,10,9.174311926605505
Asia / Pacific,younger than 12,4,0.9592326139088728
Asia / Pacific,12 to 17,103,24.700239808153476
Asia / Pacific,18 to 24,239,57.31414868105516
Asia / Pacific,25 to 34,62,14.86810551558753
Asia / Pacific,35 and up,9,2.158273381294964
Europe,younger than 12,10,0.41339396444811904
Europe,12 to 17,504,20.835055808185203
Europe,18 to 24,1490,61.59570070276974
Europe,25 to 34,376,15.543613063249277
Europe,35 and up,39,1.6122364613476645
Latin America,younger than 12,4,1.5384615384615385
Latin America,12 to 17,65,25.0
Latin America,18 to 24,146,56.15384615384615
Latin America,25 to 34,44,16.923076923076923
Latin America,35 and up,1,0.38461538461538464
Middle East,younger than 12,15,10.204081632653061
Middle East,12 to 17,47,31.97278911564626
Middle East,18 to 24,68,46.25850340136054
Middle East,25 to 34,13,8.843537414965986
Middle East,35 and up,4,2.7210884353741496
North America,younger than 12,41,1.0453850076491586
North America,12 to 17,1072,27.33299337072922
North America,18 to 24,2170,55.32891381947985
North America,25 to 34,580,14.788373278939318
North America,35 and up,59,1.5043345232024476
Oceania,younger than 12,4,1.694915254237288
Oceania,12 to 17,60,25.423728813559322
Oceania,18 to 24,127,53.813559322033896
Oceania,25 to 34,36,15.254237288135593
Oceania,35 and up,9,3.8135593220338984
Total (Age),younger than 12,108,1.4380825565912116
Total (Age),12 to 17,1891,25.1797603195739
Total (Age),18 to 24,4261,56.737683089214386
Total (Age),25 to 34,1119,14.900133155792277
Total (Age),35 and up,131,1.744340878828229
